

===========================================================================================================================================
Comparison   gcc_run_bare_metal_2.txt  vs  clang_run_bare_metal_2.txt
Load Average: 0.69, 0.60, 0.70    vs      Load Average: 0.52, 0.65, 1.03
RT1             CPUT1           IT1             
#1 1336008819551   1335759811010   55934441        
#1 4.42387e+08     4.42305e+08     18521.3         
#2 830112010356    829955389480    62061339        
#2 2.74872e+08     2.7482e+08      20550.1         
37.8663         37.8664         -10.9537        
Total #ops: 3020
#op 2nd one Dominant: 1721            1720            1516            
#op 1st one Dominant: 1299            1300            1504            


===========================================================================================================================================
Comparison   gcc_run_bare_metal_2.txt  vs  clang_run_bare_metal_2.txt
Load Average: 0.69, 0.60, 0.70    vs      Load Average: 0.52, 0.65, 1.03
302==302
S<float>/PI/24 52.2522 52.2614 -93.397
SingleQubitOp<float>/PI/24/1 75.1253 75.1248 -246.748
TwoQubitOp<float>/PI/24/2 81.9151 81.9151 -340.439
MultiQubitOp<float>/PI/24/3 8.86797 8.87046 -13.2677
MultiQubitOp<float>/PI/24/4 11.3916 11.3943 -18.5443
MultiQubitOp<float>/PI/24/5 16.4118 16.4149 -24.2732
GeneratorPhaseShift<float>/LM/24 -15.2774 -15.2767 -12.7953
GeneratorRX<float>/LM/24 4.64352 4.64464 -12.3321
GeneratorRY<float>/LM/24 -12.8405 -12.8317 5.65671
GeneratorIsingXX<float>/LM/24 14.1222 14.114 -12.6586
GeneratorIsingXY<float>/LM/24 18.4541 18.4554 -13.4865
GeneratorMultiRZ<float>/LM/24/2 0.502935 0.514803 -4.1798
GeneratorMultiRZ<float>/LM/24/4 0.876215 0.87744 -4.32006
GeneratorIsingYY<float>/LM/24 5.99604 5.98086 -31.2289
GeneratorCRX<float>/LM/24 22.7988 22.7896 -15.6623
GeneratorCRY<float>/LM/24 -7.2739 -7.26098 -2.40925
GeneratorCRZ<float>/LM/24 11.4679 11.4682 -3.31087
GeneratorControlledPhaseShift<float>/LM/24 21.0366 21.0346 -13.7978
GeneratorSingleExcitation<float>/LM/24 59.1766 59.1764 -139.727
GeneratorSingleExcitationMinus<float>/LM/24 61.3654 61.3614 -130.042
GeneratorRZ<float>/LM/24 -19.8911 -19.877 8.37353
GeneratorSingleExcitationPlus<float>/LM/24 59.3927 59.3927 -130.794
GeneratorIsingZZ<float>/LM/24 -4.20694 -4.20194 1.18383
Identity<float>/LM/24 8.44072 8.43652 -36.1971
PauliX<float>/LM/24 15.8704 15.8696 -22.3802
PauliY<float>/LM/24 -18.5268 -18.5447 1.96052
PauliZ<float>/LM/24 -23.0249 -23.0502 6.17959
Hadamard<float>/LM/24 -10.9684 -10.9512 -3.65023
IsingXX<float>/LM/24 11.0673 11.0706 -22.4263
CSWAP<float>/LM/24 -0.644095 -0.689336 -4.95214
Toffoli<float>/LM/24 -0.902573 -0.92692 3.37776
SWAP<float>/LM/24 2.56404 2.57017 -5.02917
CZ<float>/LM/24 -16.9248 -16.9352 5.34423
CY<float>/LM/24 -16.3288 -16.3349 -0.539543
CNOT<float>/LM/24 0.451869 0.456045 -8.34727
Rot<float>/LM/24 84.9822 84.9816 -335.87
RZ<float>/LM/24 83.1513 83.152 -317.772
RY<float>/LM/24 -6.97011 -6.97166 -1.19273
RX<float>/LM/24 -18.9418 -18.9522 13.6068
PhaseShift<float>/LM/24 78.6249 78.621 -219.341
T<float>/LM/24 78.5777 78.571 -231.001
IsingXY<float>/LM/24 8.16122 8.15662 -12.0625
IsingYY<float>/LM/24 11.2156 11.2103 -19.3838
MultiRZ<float>/LM/24/2 -34.2887 -34.3098 17.1303
MultiRZ<float>/LM/24/4 -36.0532 -36.0789 17.072
S<float>/LM/24 77.0556 77.0558 -235.935
DoubleExcitationPlus<float>/LM/24 76.0581 76.0553 -319.79
CRX<float>/LM/24 -3.47415 -3.47821 -1.72844
DoubleExcitationMinus<float>/LM/24 76.28 76.2798 -308.5
DoubleExcitation<float>/LM/24 -13.5208 -13.5216 -0.954513
IsingZZ<float>/LM/24 82.1655 82.1644 -346.204
SingleExcitationPlus<float>/LM/24 74.6668 74.6708 -182.386
SingleExcitationMinus<float>/LM/24 74.4913 74.4882 -202.596
SingleExcitation<float>/LM/24 -2.04502 -2.01281 -3.29887
CRot<float>/LM/24 83.048 83.0464 -273.67
CRZ<float>/LM/24 79.2715 79.2703 -246.54
CRY<float>/LM/24 -10.9868 -11.0063 3.05783
ControlledPhaseShift<float>/LM/24 69.1886 69.1788 -153.043
SingleQubitOp<float>/LM/24/1 84.5708 84.5696 -452.055
TwoQubitOp<float>/LM/24/2 84.239 84.2381 -489.129
MultiQubitOp<float>/LM/24/3 29.4319 29.4302 -45.7873
MultiQubitOp<float>/LM/24/4 31.9039 31.9026 -52.2053
MultiQubitOp<float>/LM/24/5 39.3568 39.3534 -71.5854
GeneratorRY<double>/AVX512/24 -5.66836 -5.64672 -11.27
GeneratorRZ<double>/AVX512/24 4.65281 4.63786 -25.1946
GeneratorRX<double>/AVX512/24 2.39596 2.38453 1.76866
PauliY<double>/AVX512/24 -5.42555 -5.43245 -3.36111
PauliZ<double>/AVX512/24 -7.37771 -7.41054 -24.0538
PauliX<double>/AVX512/24 3.36521 3.35193 3.31819
T<double>/AVX512/24 5.51705 5.521 -7.03689
Hadamard<double>/AVX512/24 1.90729 1.90762 16.8952
S<double>/AVX512/24 -0.858263 -0.851873 -8.60739
IsingYY<double>/AVX512/24 -2.85206 -2.88601 22.119
RZ<double>/AVX512/24 -2.84123 -2.83297 19.4701
Rot<double>/AVX512/24 2.02189 2.04265 -2.0744
RX<double>/AVX512/24 1.41463 1.43041 -0.218396
RY<double>/AVX512/24 -0.382568 -0.361022 1.42683
CZ<double>/AVX512/24 10.5106 10.4989 -15.283
SWAP<double>/AVX512/24 0.812277 0.819493 1.91439
CNOT<double>/AVX512/24 1.6108 1.61583 -1.4198
IsingZZ<double>/AVX512/24 0.24766 0.228748 24.1083
IsingXX<double>/AVX512/24 -1.36444 -1.37831 19.2818
PhaseShift<double>/AVX512/24 6.7794 6.78293 -6.64414
SingleQubitOp<double>/AVX512/24/1 1.69604 1.69114 -10.3509
GeneratorRZ<double>/AVX2/24 -6.00267 -6.01897 2.85992
GeneratorRY<double>/AVX2/24 -1.83401 -1.84647 2.10456
GeneratorRX<double>/AVX2/24 0.00913697 0.0187855 -1.00653
PauliZ<double>/AVX2/24 -14.5284 -14.543 2.54346
PauliY<double>/AVX2/24 -1.39458 -1.38464 8.8419
PauliX<double>/AVX2/24 -1.47015 -1.47013 1.19771
PhaseShift<double>/AVX2/24 -2.26384 -2.26319 -0.213689
S<double>/AVX2/24 -3.05989 -3.05789 2.6726
IsingYY<double>/AVX2/24 3.2198 3.21373 5.59774
Hadamard<double>/AVX2/24 -3.55795 -3.57854 9.57067
Rot<double>/AVX2/24 -1.73792 -1.7298 -0.558409
RZ<double>/AVX2/24 -1.24159 -1.23631 0.336857
RY<double>/AVX2/24 -2.10598 -2.09346 -1.01121
RX<double>/AVX2/24 -2.35807 -2.36786 -2.32528
SWAP<double>/AVX2/24 0.167648 0.159773 -3.71107
CZ<double>/AVX2/24 1.41097 1.41594 -3.67218
CNOT<double>/AVX2/24 4.14712 4.14742 0.296244
IsingZZ<double>/AVX2/24 0.580803 0.579237 3.88301
T<double>/AVX2/24 -3.54852 -3.56093 -0.564763
IsingXX<double>/AVX2/24 -1.57404 -1.57487 5.21004
SingleQubitOp<double>/AVX2/24/1 3.1391 3.13922 2.45053
GeneratorDoubleExcitationMinus<double>/PI/24 12.278 12.287 -10.9945
GeneratorDoubleExcitationPlus<double>/PI/24 -6.55595 -6.5605 -6.28481
GeneratorIsingXY<double>/PI/24 30.9812 30.9753 -8.18901
GeneratorIsingXX<double>/PI/24 30.8001 30.7555 -6.2029
GeneratorIsingZZ<double>/PI/24 32.632 32.6678 -0.582002
GeneratorCRY<double>/PI/24 2.95659 2.95873 -0.318021
GeneratorCRX<double>/PI/24 8.7466 8.73268 -8.82778
GeneratorControlledPhaseShift<double>/PI/24 -2.40065 -2.44127 -4.83833
GeneratorCRZ<double>/PI/24 3.64828 3.63371 -5.68991
GeneratorRY<double>/PI/24 -5.0182 -5.02052 5.10916
GeneratorDoubleExcitation<double>/PI/24 15.5715 15.577 -12.9129
GeneratorIsingYY<double>/PI/24 -44.1225 -44.1282 -4.67148
GeneratorRZ<double>/PI/24 -3.80141 -3.75827 1.0193
GeneratorPhaseShift<double>/PI/24 -1.66505 -1.66373 -4.11167
GeneratorRX<double>/PI/24 -1.63774 -1.64096 -2.52868
PauliX<double>/PI/24 -0.438694 -0.451284 -2.35668
Identity<double>/PI/24 4.99041 4.96883 -14.1595
IsingXY<double>/PI/24 27.7914 27.7901 -0.555036
CSWAP<double>/PI/24 0.447265 0.442499 -6.43508
CZ<double>/PI/24 41.315 41.3104 -3.43886
Toffoli<double>/PI/24 -10.4697 -10.4485 -6.40188
SWAP<double>/PI/24 -61.6474 -61.6739 -7.45412
CNOT<double>/PI/24 37.0599 37.0512 -6.45608
CY<double>/PI/24 -1.62488 -1.6454 2.6599
RZ<double>/PI/24 40.2955 40.3125 -60.7261
Rot<double>/PI/24 54.1362 54.1361 -92.332
RX<double>/PI/24 -1.21071 -1.2164 -6.22766
RY<double>/PI/24 -3.35527 -3.34351 3.82813
T<double>/PI/24 28.0942 28.0933 -39.732
PhaseShift<double>/PI/24 25.854 25.8622 -43.2056
IsingXX<double>/PI/24 28.6347 28.609 -5.85021
IsingZZ<double>/PI/24 42.3853 42.3826 -68.4618
DoubleExcitationPlus<double>/PI/24 51.4349 51.429 -68.1036
PauliZ<double>/PI/24 -3.09987 -3.10493 1.34826
Hadamard<double>/PI/24 -3.38286 -3.3741 2.04445
MultiRZ<double>/PI/24/2 0.641492 0.649919 -17.7987
MultiRZ<double>/PI/24/4 25.0286 25.0193 -22.0712
ControlledPhaseShift<double>/PI/24 -5.31112 -5.26327 -28.5975
DoubleExcitation<double>/PI/24 -1.04583 -1.04191 -6.93039
DoubleExcitationMinus<double>/PI/24 48.9721 48.9705 -73.5804
PauliY<double>/PI/24 -4.88942 -4.88824 8.61739
IsingYY<double>/PI/24 27.3637 27.363 -2.27113
CRot<double>/PI/24 57.4237 57.426 -65.0374
CRY<double>/PI/24 -2.36331 -2.35801 -5.35775
CRZ<double>/PI/24 22.3284 22.3464 -44.885
CRX<double>/PI/24 6.57431 6.58492 -9.47115
S<double>/PI/24 26.2587 26.2704 -45.6288
SingleQubitOp<double>/PI/24/1 5.14473 5.14954 -8.60105
TwoQubitOp<double>/PI/24/2 73.9052 73.9078 -212.375
MultiQubitOp<double>/PI/24/3 33.2283 33.2279 -39.9389
MultiQubitOp<double>/PI/24/4 34.1918 34.1905 -44.9678
MultiQubitOp<double>/PI/24/5 39.0562 39.0567 -60.886
GeneratorPhaseShift<double>/LM/24 -6.71887 -6.73082 -1.29996
GeneratorRX<double>/LM/24 -4.76038 -4.81394 -8.15581
GeneratorRY<double>/LM/24 -7.59223 -7.601 0.82446
GeneratorIsingXX<double>/LM/24 -2.50546 -2.50131 -7.05674
GeneratorIsingXY<double>/LM/24 10.025 10.0197 -12.2069
GeneratorMultiRZ<double>/LM/24/2 0.543854 0.535564 -2.89619
GeneratorMultiRZ<double>/LM/24/4 -1.04354 -1.05864 0.388948
GeneratorIsingYY<double>/LM/24 3.60692 3.60447 14.2925
GeneratorCRX<double>/LM/24 10.4422 10.4592 -7.07327
GeneratorCRY<double>/LM/24 0.816979 0.83843 -4.4887
GeneratorCRZ<double>/LM/24 7.12132 7.11649 -3.33951
GeneratorControlledPhaseShift<double>/LM/24 15.2472 15.2533 -15.1845
GeneratorSingleExcitation<double>/LM/24 29.7778 29.7828 -44.4047
GeneratorSingleExcitationMinus<double>/LM/24 13.9531 13.9587 -20.8218
GeneratorRZ<double>/LM/24 -6.4015 -6.39236 8.52542
GeneratorSingleExcitationPlus<double>/LM/24 24.2958 24.3081 -36.6513
GeneratorIsingZZ<double>/LM/24 -10.8173 -10.8343 4.54389
Identity<double>/LM/24 7.22255 7.21612 -21.4589
PauliX<double>/LM/24 -2.82572 -2.81701 1.58042
PauliY<double>/LM/24 -1.61452 -1.60016 -0.286854
PauliZ<double>/LM/24 -12.0553 -12.0613 8.0271
Hadamard<double>/LM/24 -4.84508 -4.84985 1.31569
IsingXX<double>/LM/24 6.75175 6.75869 -12.3858
CSWAP<double>/LM/24 -1.2523 -1.28063 1.99794
Toffoli<double>/LM/24 -4.21319 -4.17752 2.87709
SWAP<double>/LM/24 3.09581 3.09018 -0.389388
CZ<double>/LM/24 -2.96726 -2.9611 7.81513
CY<double>/LM/24 -0.940882 -0.931853 -1.7472
CNOT<double>/LM/24 -2.47245 -2.48212 -6.94261
Rot<double>/LM/24 73.4071 73.4093 -163.189
RZ<double>/LM/24 60.9306 60.9322 -126.678
RY<double>/LM/24 -3.39755 -3.33674 0.691062
RX<double>/LM/24 6.68566 6.68009 -13.1235
PhaseShift<double>/LM/24 49.9625 49.9839 -89.9522
T<double>/LM/24 50.686 50.6828 -105.104
IsingXY<double>/LM/24 0.566767 0.560198 -3.80913
IsingYY<double>/LM/24 2.65562 2.65889 -5.72551
MultiRZ<double>/LM/24/2 -11.754 -11.7534 7.87959
MultiRZ<double>/LM/24/4 -12.1911 -12.2255 11.9603
S<double>/LM/24 49.9392 49.9444 -100.103
DoubleExcitationPlus<double>/LM/24 53.4875 53.485 -126.243
CRX<double>/LM/24 4.06355 4.09534 -1.60259
DoubleExcitationMinus<double>/LM/24 52.6392 52.6338 -127.353
DoubleExcitation<double>/LM/24 1.33172 1.33188 5.08008
IsingZZ<double>/LM/24 59.6104 59.6064 -127.69
SingleExcitationPlus<double>/LM/24 48.735 48.7337 -75.9192
SingleExcitationMinus<double>/LM/24 49.7342 49.7273 -79.7985
SingleExcitation<double>/LM/24 -3.69228 -3.70028 3.99817
CRot<double>/LM/24 65.1901 65.186 -121.416
CRZ<double>/LM/24 50.849 50.8505 -95.9435
CRY<double>/LM/24 -4.18571 -4.18693 3.4759
ControlledPhaseShift<double>/LM/24 47.6256 47.6254 -58.1305
SingleQubitOp<double>/LM/24/1 74.6888 74.6911 -258.407
TwoQubitOp<double>/LM/24/2 77.5965 77.5965 -318.912
MultiQubitOp<double>/LM/24/3 36.3056 36.3041 -62.0438
MultiQubitOp<double>/LM/24/4 38.6906 38.6887 -70.1447
MultiQubitOp<double>/LM/24/5 42.2405 42.2416 -80.2741
GCC dominant: 118 CLANG dominat: 184
