```
$ ./benchmark_all.sh
2023-01-01T19:38:25+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 1.64, 1.64, 1.47
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
S<float>/AVX512/20                              9514003 ns      9513120 ns           80
S<float>/AVX512/22                             88576081 ns     88568549 ns            8
S<float>/AVX512/24                            347296342 ns    347240490 ns            2
IsingYY<float>/AVX512/6                            4293 ns         4292 ns       161224
IsingYY<float>/AVX512/8                            8408 ns         8407 ns        84159
IsingYY<float>/AVX512/10                          12916 ns        12916 ns        54695
IsingYY<float>/AVX512/12                          33471 ns        33465 ns        20983
IsingYY<float>/AVX512/14                         144875 ns       144871 ns         4854
IsingYY<float>/AVX512/16                         565108 ns       565000 ns         1209
IsingYY<float>/AVX512/18                        3981915 ns      3981493 ns          177
IsingYY<float>/AVX512/20                       17318453 ns     17318295 ns           41
IsingYY<float>/AVX512/22                      115507975 ns    115508179 ns            6
IsingYY<float>/AVX512/24                      529181132 ns    529104680 ns            1
RZ<float>/AVX512/6                                 4079 ns         4078 ns       167820
RZ<float>/AVX512/8                                 7859 ns         7859 ns        87185
RZ<float>/AVX512/10                               12716 ns        12716 ns        54750
RZ<float>/AVX512/12                               33080 ns        33079 ns        20994
RZ<float>/AVX512/14                              142417 ns       142412 ns         4989
RZ<float>/AVX512/16                              561773 ns       561736 ns         1237
RZ<float>/AVX512/18                             3994560 ns      3994194 ns          178
RZ<float>/AVX512/20                            17016559 ns     17013792 ns           41
RZ<float>/AVX512/22                           112172848 ns    112146835 ns            6
RZ<float>/AVX512/24                           519357551 ns    519347249 ns            1
Rot<float>/AVX512/6                               16020 ns        16017 ns        43142
Rot<float>/AVX512/8                               18437 ns        18436 ns        38443
Rot<float>/AVX512/10                              26903 ns        26899 ns        25512
Rot<float>/AVX512/12                              65143 ns        65136 ns        10740
Rot<float>/AVX512/14                             211621 ns       211604 ns         3266
Rot<float>/AVX512/16                             798512 ns       798486 ns          879
Rot<float>/AVX512/18                            4364797 ns      4364467 ns          165
Rot<float>/AVX512/20                           17960584 ns     17956424 ns           38
Rot<float>/AVX512/22                          120749861 ns    120743767 ns            6
Rot<float>/AVX512/24                          540023126 ns    539999231 ns            1
RX<float>/AVX512/6                                 4118 ns         4117 ns       169896
RX<float>/AVX512/8                                 7988 ns         7987 ns        86682
RX<float>/AVX512/10                               13110 ns        13109 ns        53875
RX<float>/AVX512/12                               35007 ns        35002 ns        19981
RX<float>/AVX512/14                              148910 ns       148898 ns         4720
RX<float>/AVX512/16                              594632 ns       594620 ns         1184
RX<float>/AVX512/18                             4130256 ns      4130262 ns          169
RX<float>/AVX512/20                            17833136 ns     17833171 ns           40
RX<float>/AVX512/22                           119777154 ns    119774155 ns            6
RX<float>/AVX512/24                           548391478 ns    548334174 ns            1
RY<float>/AVX512/6                                 4241 ns         4240 ns       165148
RY<float>/AVX512/8                                 8099 ns         8098 ns        86394
RY<float>/AVX512/10                               13024 ns        13024 ns        53532
RY<float>/AVX512/12                               31988 ns        31988 ns        21241
RY<float>/AVX512/14                              147434 ns       147418 ns         4714
RY<float>/AVX512/16                              588712 ns       588654 ns         1186
RY<float>/AVX512/18                             4095469 ns      4095063 ns          170
RY<float>/AVX512/20                            17614642 ns     17614671 ns           40
RY<float>/AVX512/22                           115478421 ns    115475474 ns            6
RY<float>/AVX512/24                           540319396 ns    540237257 ns            1
CZ<float>/AVX512/6                                 3903 ns         3903 ns       181744
CZ<float>/AVX512/8                                 6871 ns         6871 ns        97862
CZ<float>/AVX512/10                                9884 ns         9883 ns        71870
CZ<float>/AVX512/12                               20732 ns        20732 ns        32355
CZ<float>/AVX512/14                               68260 ns        68251 ns        10364
CZ<float>/AVX512/16                              267741 ns       267714 ns         2854
CZ<float>/AVX512/18                             1458704 ns      1458613 ns          470
CZ<float>/AVX512/20                             7154943 ns      7153972 ns           94
CZ<float>/AVX512/22                            62139144 ns     62135941 ns           11
CZ<float>/AVX512/24                           281467586 ns    281446335 ns            3
SWAP<float>/AVX512/6                               4199 ns         4199 ns       165174
SWAP<float>/AVX512/8                               4721 ns         4721 ns       150740
SWAP<float>/AVX512/10                              6691 ns         6690 ns        99336
SWAP<float>/AVX512/12                             14601 ns        14600 ns        46566
SWAP<float>/AVX512/14                             74144 ns        74143 ns         9826
SWAP<float>/AVX512/16                            266331 ns       266327 ns         2831
SWAP<float>/AVX512/18                           2044392 ns      2044267 ns          350
SWAP<float>/AVX512/20                           9562414 ns      9561479 ns           66
SWAP<float>/AVX512/22                          87819946 ns     87800873 ns            8
SWAP<float>/AVX512/24                         382760623 ns    382685257 ns            2
CNOT<float>/AVX512/6                               3935 ns         3935 ns       177361
CNOT<float>/AVX512/8                               4479 ns         4478 ns       157962
CNOT<float>/AVX512/10                              6136 ns         6136 ns       108418
CNOT<float>/AVX512/12                             13789 ns        13787 ns        51693
CNOT<float>/AVX512/14                             59765 ns        59762 ns        11508
CNOT<float>/AVX512/16                            231158 ns       231105 ns         3297
CNOT<float>/AVX512/18                           2108522 ns      2108180 ns          409
CNOT<float>/AVX512/20                           9350858 ns      9348651 ns           79
CNOT<float>/AVX512/22                          75479916 ns     75471922 ns            9
CNOT<float>/AVX512/24                         390310897 ns    390220401 ns            2
IsingZZ<float>/AVX512/6                            4478 ns         4477 ns       158317
IsingZZ<float>/AVX512/8                            8707 ns         8704 ns        81500
IsingZZ<float>/AVX512/10                          13592 ns        13591 ns        51143
IsingZZ<float>/AVX512/12                          34789 ns        34780 ns        20138
IsingZZ<float>/AVX512/14                         147797 ns       147791 ns         4741
IsingZZ<float>/AVX512/16                         598489 ns       598288 ns         1185
IsingZZ<float>/AVX512/18                        4181556 ns      4181465 ns          167
IsingZZ<float>/AVX512/20                       18218791 ns     18212981 ns           38
IsingZZ<float>/AVX512/22                      121276513 ns    121236816 ns            6
IsingZZ<float>/AVX512/24                      573821252 ns    573638882 ns            1
IsingXX<float>/AVX512/6                            4549 ns         4548 ns       151886
IsingXX<float>/AVX512/8                            8557 ns         8556 ns        79242
IsingXX<float>/AVX512/10                          13788 ns        13786 ns        51868
IsingXX<float>/AVX512/12                          36874 ns        36866 ns        19891
IsingXX<float>/AVX512/14                         149632 ns       149622 ns         4712
IsingXX<float>/AVX512/16                         593160 ns       593054 ns         1172
IsingXX<float>/AVX512/18                        4130061 ns      4129980 ns          170
IsingXX<float>/AVX512/20                       17986165 ns     17984101 ns           39
IsingXX<float>/AVX512/22                      119751489 ns    119726160 ns            6
IsingXX<float>/AVX512/24                      557035957 ns    556968907 ns            1
PhaseShift<float>/AVX512/6                         4894 ns         4894 ns       142833
PhaseShift<float>/AVX512/8                         9409 ns         9407 ns        75202
PhaseShift<float>/AVX512/10                       14194 ns        14192 ns        50649
PhaseShift<float>/AVX512/12                       33105 ns        33101 ns        21097
PhaseShift<float>/AVX512/14                      116731 ns       116690 ns         6275
PhaseShift<float>/AVX512/16                      423699 ns       423623 ns         1606
PhaseShift<float>/AVX512/18                     2604738 ns      2604198 ns          284
PhaseShift<float>/AVX512/20                    12162058 ns     12160128 ns           58
PhaseShift<float>/AVX512/22                    88623032 ns     88619012 ns            8
PhaseShift<float>/AVX512/24                   415617853 ns    415618574 ns            2
SingleQubitOp<float>/AVX512/6/1                    6386 ns         6386 ns       111963
SingleQubitOp<float>/AVX512/8/1                    8778 ns         8778 ns        78483
SingleQubitOp<float>/AVX512/10/1                  18020 ns        18020 ns        40628
SingleQubitOp<float>/AVX512/12/1                  56052 ns        56052 ns        12583
SingleQubitOp<float>/AVX512/14/1                 209873 ns       209873 ns         3363
SingleQubitOp<float>/AVX512/16/1                 825766 ns       825767 ns          857
SingleQubitOp<float>/AVX512/18/1                4508504 ns      4508434 ns          159
SingleQubitOp<float>/AVX512/20/1               19371071 ns     19370879 ns           35
SingleQubitOp<float>/AVX512/22/1              125287149 ns    125284140 ns            5
SingleQubitOp<float>/AVX512/24/1              581516702 ns    581491615 ns            1
GeneratorRZ<float>/AVX2/6                          4127 ns         4127 ns       168636
GeneratorRZ<float>/AVX2/8                          5297 ns         5297 ns       133760
GeneratorRZ<float>/AVX2/10                         9054 ns         9054 ns        76891
GeneratorRZ<float>/AVX2/12                        23400 ns        23400 ns        30724
GeneratorRZ<float>/AVX2/14                        84222 ns        84222 ns         6579
GeneratorRZ<float>/AVX2/16                       330390 ns       330391 ns         2130
GeneratorRZ<float>/AVX2/18                      1968567 ns      1968571 ns          345
GeneratorRZ<float>/AVX2/20                     10190475 ns     10190392 ns           70
GeneratorRZ<float>/AVX2/22                     82434708 ns     82434907 ns            8
GeneratorRZ<float>/AVX2/24                    361133976 ns    361134522 ns            2
GeneratorRY<float>/AVX2/6                          4121 ns         4121 ns       169662
GeneratorRY<float>/AVX2/8                          5673 ns         5673 ns       123531
GeneratorRY<float>/AVX2/10                        10684 ns        10684 ns        65939
GeneratorRY<float>/AVX2/12                        31127 ns        31127 ns        22069
GeneratorRY<float>/AVX2/14                       116735 ns       116735 ns         5937
GeneratorRY<float>/AVX2/16                       468572 ns       468564 ns         1503
GeneratorRY<float>/AVX2/18                      3276982 ns      3276986 ns          213
GeneratorRY<float>/AVX2/20                     14389704 ns     14389741 ns           49
GeneratorRY<float>/AVX2/22                    107186026 ns    107183210 ns            6
GeneratorRY<float>/AVX2/24                    503807178 ns    503808543 ns            1
GeneratorRX<float>/AVX2/6                          3767 ns         3767 ns       184374
GeneratorRX<float>/AVX2/8                          4955 ns         4955 ns       140266
GeneratorRX<float>/AVX2/10                         9496 ns         9496 ns        73442
GeneratorRX<float>/AVX2/12                        28220 ns        28220 ns        24691
GeneratorRX<float>/AVX2/14                       100593 ns       100592 ns         7032
GeneratorRX<float>/AVX2/16                       396034 ns       396030 ns         1739
GeneratorRX<float>/AVX2/18                      3110168 ns      3110135 ns          221
GeneratorRX<float>/AVX2/20                     14179513 ns     14179548 ns           50
GeneratorRX<float>/AVX2/22                    106162781 ns    106161942 ns            7
GeneratorRX<float>/AVX2/24                    515349323 ns    515335223 ns            1
PauliZ<float>/AVX2/6                               4281 ns         4281 ns       164232
PauliZ<float>/AVX2/8                               5472 ns         5472 ns       127764
PauliZ<float>/AVX2/10                              9189 ns         9188 ns        74273
PauliZ<float>/AVX2/12                             24602 ns        24601 ns        29947
PauliZ<float>/AVX2/14                             97751 ns        97752 ns         8245
PauliZ<float>/AVX2/16                            328085 ns       328073 ns         2074
PauliZ<float>/AVX2/18                           2236026 ns      2235988 ns          341
PauliZ<float>/AVX2/20                          10161255 ns     10161194 ns           70
PauliZ<float>/AVX2/22                          82518697 ns     82518912 ns            8
PauliZ<float>/AVX2/24                         375576816 ns    375563017 ns            2
PauliY<float>/AVX2/6                               4383 ns         4383 ns       159083
PauliY<float>/AVX2/8                               5815 ns         5814 ns       120474
PauliY<float>/AVX2/10                             10921 ns        10921 ns        63744
PauliY<float>/AVX2/12                             31551 ns        31551 ns        22228
PauliY<float>/AVX2/14                            115032 ns       115028 ns         6124
PauliY<float>/AVX2/16                            456883 ns       456880 ns         1531
PauliY<float>/AVX2/18                           3244823 ns      3244787 ns          215
PauliY<float>/AVX2/20                          14237735 ns     14237769 ns           49
PauliY<float>/AVX2/22                         108800815 ns    108798494 ns            6
PauliY<float>/AVX2/24                         508722274 ns    508723871 ns            1
PauliX<float>/AVX2/6                               3901 ns         3901 ns       180593
PauliX<float>/AVX2/8                               4868 ns         4868 ns       144514
PauliX<float>/AVX2/10                              9028 ns         9028 ns        76756
PauliX<float>/AVX2/12                             26233 ns        26233 ns        26963
PauliX<float>/AVX2/14                             91800 ns        91798 ns         7589
PauliX<float>/AVX2/16                            371512 ns       371513 ns         1900
PauliX<float>/AVX2/18                           3145769 ns      3145738 ns          224
PauliX<float>/AVX2/20                          14009801 ns     14009831 ns           50
PauliX<float>/AVX2/22                         106223646 ns    106222609 ns            6
PauliX<float>/AVX2/24                         507056175 ns    507051703 ns            2
PhaseShift<float>/AVX2/6                           5451 ns         5451 ns       130757
PhaseShift<float>/AVX2/8                           6738 ns         6738 ns        98424
PhaseShift<float>/AVX2/10                         11799 ns        11799 ns        61813
PhaseShift<float>/AVX2/12                         29715 ns        29714 ns        23587
PhaseShift<float>/AVX2/14                        106721 ns       106722 ns         6530
PhaseShift<float>/AVX2/16                        421126 ns       421115 ns         1651
PhaseShift<float>/AVX2/18                       2327799 ns      2327801 ns          298
PhaseShift<float>/AVX2/20                      10289647 ns     10288983 ns           69
