```
$ docker container run -it --rm 87d4043c66af /opt/install/bin/bench_kernels
2023-01-02T21:25:48+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.89, 0.80, 0.63
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.6
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
PauliZ<float>/AVX512/20                        11373649 ns     11372131 ns           66
PauliZ<float>/AVX512/22                        79889922 ns     79875415 ns            9
PauliZ<float>/AVX512/24                       353095048 ns    353080066 ns            2
IsingZZ<float>/AVX512/6                            5008 ns         5008 ns       139772
IsingZZ<float>/AVX512/8                            9906 ns         9905 ns        71164
IsingZZ<float>/AVX512/10                          16481 ns        16479 ns        41640
IsingZZ<float>/AVX512/12                          41880 ns        41878 ns        16561
IsingZZ<float>/AVX512/14                         152057 ns       152037 ns         4639
IsingZZ<float>/AVX512/16                         598791 ns       598693 ns         1149
IsingZZ<float>/AVX512/18                        4099658 ns      4099171 ns          169
IsingZZ<float>/AVX512/20                       17207587 ns     17206304 ns           40
IsingZZ<float>/AVX512/22                      118888689 ns    118868295 ns            6
IsingZZ<float>/AVX512/24                      512753960 ns    512625839 ns            1
T<float>/AVX512/6                                  4351 ns         4350 ns       159501
T<float>/AVX512/8                                  8323 ns         8322 ns        83963
T<float>/AVX512/10                                12881 ns        12881 ns        54477
T<float>/AVX512/12                                31688 ns        31684 ns        22536
T<float>/AVX512/14                               111520 ns       111493 ns         6025
T<float>/AVX512/16                               447556 ns       447434 ns         1590
T<float>/AVX512/18                              2459380 ns      2459114 ns          282
T<float>/AVX512/20                             10841254 ns     10839850 ns           65
T<float>/AVX512/22                             79063341 ns     79040102 ns            8
T<float>/AVX512/24                            391640386 ns    391596058 ns            2
IsingYY<float>/AVX512/6                            5182 ns         5181 ns       133483
IsingYY<float>/AVX512/8                           10174 ns        10173 ns        69333
IsingYY<float>/AVX512/10                          16404 ns        16401 ns        40912
IsingYY<float>/AVX512/12                          43535 ns        43531 ns        15987
IsingYY<float>/AVX512/14                         158778 ns       158761 ns         4445
IsingYY<float>/AVX512/16                         603643 ns       603583 ns         1136
IsingYY<float>/AVX512/18                        4161867 ns      4161303 ns          168
IsingYY<float>/AVX512/20                       17338072 ns     17334430 ns           40
IsingYY<float>/AVX512/22                      113833527 ns    113808898 ns            6
IsingYY<float>/AVX512/24                      519739641 ns    519703095 ns            1
S<float>/AVX512/6                                  4363 ns         4362 ns       160510
S<float>/AVX512/8                                  5195 ns         5194 ns       138459
S<float>/AVX512/10                                12808 ns        12805 ns        53898
S<float>/AVX512/12                                32225 ns        32222 ns        22006
S<float>/AVX512/14                               115201 ns       115194 ns         6515
S<float>/AVX512/16                               365640 ns       365609 ns         2088
S<float>/AVX512/18                              1919958 ns      1919761 ns          332
S<float>/AVX512/20                              9645425 ns      9643064 ns           75
S<float>/AVX512/22                             78162605 ns     78149828 ns            8
S<float>/AVX512/24                            343196698 ns    343142248 ns            2
CNOT<float>/AVX512/6                               4599 ns         4598 ns       152122
CNOT<float>/AVX512/8                               5195 ns         5194 ns       132964
CNOT<float>/AVX512/10                              7554 ns         7553 ns        87340
CNOT<float>/AVX512/12                             16446 ns        16445 ns        41664
CNOT<float>/AVX512/14                             59867 ns        59861 ns        12277
CNOT<float>/AVX512/16                            225766 ns       225740 ns         3221
CNOT<float>/AVX512/18                           1817773 ns      1817485 ns          377
CNOT<float>/AVX512/20                           8150237 ns      8148690 ns           81
CNOT<float>/AVX512/22                          75486364 ns     75475879 ns           10
CNOT<float>/AVX512/24                         341952771 ns    341866160 ns            2
SWAP<float>/AVX512/6                               4844 ns         4843 ns       146982
SWAP<float>/AVX512/8                               5580 ns         5578 ns       124770
SWAP<float>/AVX512/10                              8331 ns         8331 ns        85071
SWAP<float>/AVX512/12                             19227 ns        19224 ns        37369
SWAP<float>/AVX512/14                             63345 ns        63340 ns        10380
SWAP<float>/AVX512/16                            226198 ns       226179 ns         2824
SWAP<float>/AVX512/18                           2040183 ns      2040124 ns          382
SWAP<float>/AVX512/20                          10063881 ns     10063268 ns           62
SWAP<float>/AVX512/22                          85182394 ns     85163355 ns            9
SWAP<float>/AVX512/24                         380918231 ns    380563251 ns            2
PauliY<float>/AVX512/6                             4696 ns         4695 ns       146965
PauliY<float>/AVX512/8                             5558 ns         5558 ns       125135
PauliY<float>/AVX512/10                           14096 ns        14092 ns        49669
PauliY<float>/AVX512/12                           36454 ns        36451 ns        19886
PauliY<float>/AVX512/14                          144115 ns       144092 ns         4839
PauliY<float>/AVX512/16                          581177 ns       581133 ns         1224
PauliY<float>/AVX512/18                         4040756 ns      4039917 ns          175
PauliY<float>/AVX512/20                        16783626 ns     16780985 ns           41
PauliY<float>/AVX512/22                       109610241 ns    109570390 ns            6
PauliY<float>/AVX512/24                       513382781 ns    513246071 ns            1
CZ<float>/AVX512/6                                 4544 ns         4544 ns       155802
CZ<float>/AVX512/8                                 5159 ns         5157 ns       136505
CZ<float>/AVX512/10                                7335 ns         7334 ns        94293
CZ<float>/AVX512/12                               16716 ns        16713 ns        42172
CZ<float>/AVX512/14                               80459 ns        80456 ns         8252
CZ<float>/AVX512/16                              285733 ns       285677 ns         2459
CZ<float>/AVX512/18                             1440451 ns      1440193 ns          450
CZ<float>/AVX512/20                             7107652 ns      7107212 ns           99
CZ<float>/AVX512/22                            61986064 ns     61976570 ns           11
CZ<float>/AVX512/24                           256613469 ns    256604530 ns            3
PauliX<float>/AVX512/6                             4477 ns         4476 ns       159995
PauliX<float>/AVX512/8                             5128 ns         5128 ns       135763
PauliX<float>/AVX512/10                            7907 ns         7905 ns        89080
PauliX<float>/AVX512/12                           19332 ns        19330 ns        36699
PauliX<float>/AVX512/14                           88497 ns        88492 ns         8035
PauliX<float>/AVX512/16                          349359 ns       349321 ns         2002
PauliX<float>/AVX512/18                         3117845 ns      3117245 ns          222
PauliX<float>/AVX512/20                        13368105 ns     13366594 ns           52
PauliX<float>/AVX512/22                       105940986 ns    105935820 ns            7
PauliX<float>/AVX512/24                       471397121 ns    471324480 ns            2
PhaseShift<float>/AVX512/6                         5302 ns         5302 ns       131836
PhaseShift<float>/AVX512/8                        10147 ns        10146 ns        69938
PhaseShift<float>/AVX512/10                       14979 ns        14977 ns        46813
PhaseShift<float>/AVX512/12                       33096 ns        33085 ns        21214
PhaseShift<float>/AVX512/14                      114731 ns       114718 ns         5993
PhaseShift<float>/AVX512/16                      434517 ns       434381 ns         1611
PhaseShift<float>/AVX512/18                     2218609 ns      2218611 ns          299
PhaseShift<float>/AVX512/20                    10327267 ns     10324624 ns           66
PhaseShift<float>/AVX512/22                    87015165 ns     87004722 ns            9
PhaseShift<float>/AVX512/24                   358277488 ns    358190344 ns            2
Hadamard<float>/AVX512/6                           4491 ns         4491 ns       158091
Hadamard<float>/AVX512/8                           8820 ns         8818 ns        79609
Hadamard<float>/AVX512/10                         16177 ns        16175 ns        40783
Hadamard<float>/AVX512/12                         44144 ns        44140 ns        12971
Hadamard<float>/AVX512/14                        201110 ns       201078 ns         4622
Hadamard<float>/AVX512/16                        696633 ns       696581 ns         1194
Hadamard<float>/AVX512/18                       7298362 ns      7296435 ns          118
