```
$ ./bin/bench_kernels 
2023-01-11T22:23:50+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 6.83, 6.42, 6.08
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
PauliZ<float>/AVX512/20                        10432267 ns     10432177 ns           61
PauliZ<float>/AVX512/22                        78770921 ns     78764988 ns            8
PauliZ<float>/AVX512/24                       354167066 ns    354167898 ns            2
IsingZZ<float>/AVX512/6                            4483 ns         4482 ns       152097
IsingZZ<float>/AVX512/8                            8611 ns         8610 ns        79487
IsingZZ<float>/AVX512/10                          14282 ns        14282 ns        50041
IsingZZ<float>/AVX512/12                          38051 ns        38048 ns        18481
IsingZZ<float>/AVX512/14                         143776 ns       143758 ns         4873
IsingZZ<float>/AVX512/16                         565640 ns       565641 ns         1248
IsingZZ<float>/AVX512/18                        4231442 ns      4231177 ns          168
IsingZZ<float>/AVX512/20                       17643111 ns     17643158 ns           39
IsingZZ<float>/AVX512/22                      118012055 ns    118010141 ns            6
IsingZZ<float>/AVX512/24                      535380144 ns    535381928 ns            1
T<float>/AVX512/6                                  3189 ns         3189 ns       221131
T<float>/AVX512/8                                  6200 ns         6200 ns       112371
T<float>/AVX512/10                                10183 ns        10183 ns        69919
T<float>/AVX512/12                                25646 ns        25644 ns        27298
T<float>/AVX512/14                               101791 ns       101784 ns         6830
T<float>/AVX512/16                               383055 ns       383056 ns         1766
T<float>/AVX512/18                              2013820 ns      2013744 ns          268
T<float>/AVX512/20                             10517002 ns     10516752 ns           74
T<float>/AVX512/22                             89517222 ns     89508257 ns            7
T<float>/AVX512/24                            336491910 ns    336469597 ns            2
IsingYY<float>/AVX512/6                            3792 ns         3791 ns       182177
IsingYY<float>/AVX512/8                            7986 ns         7986 ns        90318
IsingYY<float>/AVX512/10                          13927 ns        13927 ns        49667
IsingYY<float>/AVX512/12                          37901 ns        37901 ns        18541
IsingYY<float>/AVX512/14                         145005 ns       144997 ns         4859
IsingYY<float>/AVX512/16                         570263 ns       570189 ns         1225
IsingYY<float>/AVX512/18                        4092457 ns      4092466 ns          170
IsingYY<float>/AVX512/20                       18098935 ns     18099009 ns           39
IsingYY<float>/AVX512/22                      116154163 ns    116149713 ns            6
IsingYY<float>/AVX512/24                      548403678 ns    548365518 ns            1
S<float>/AVX512/6                                  3210 ns         3209 ns       220007
S<float>/AVX512/8                                  3803 ns         3802 ns       181686
S<float>/AVX512/10                                10523 ns        10523 ns        65848
S<float>/AVX512/12                                25949 ns        25947 ns        28072
S<float>/AVX512/14                                74971 ns        74966 ns         8284
S<float>/AVX512/16                               258655 ns       258632 ns         2690
S<float>/AVX512/18                              1958246 ns      1957967 ns          360
S<float>/AVX512/20                              9845531 ns      9845559 ns           73
S<float>/AVX512/22                             83239170 ns     83228031 ns            8
S<float>/AVX512/24                            356916960 ns    356907623 ns            2
CNOT<float>/AVX512/6                               3448 ns         3448 ns       211274
CNOT<float>/AVX512/8                               3819 ns         3819 ns       177455
CNOT<float>/AVX512/10                              5910 ns         5910 ns       118176
CNOT<float>/AVX512/12                             13319 ns        13319 ns        53521
CNOT<float>/AVX512/14                             57617 ns        57617 ns        12561
CNOT<float>/AVX512/16                            215478 ns       215476 ns         3323
CNOT<float>/AVX512/18                           1953264 ns      1953207 ns          390
CNOT<float>/AVX512/20                           8763598 ns      8763044 ns           85
CNOT<float>/AVX512/22                          70284966 ns     70278641 ns            9
CNOT<float>/AVX512/24                         333217038 ns    333206020 ns            2
SWAP<float>/AVX512/6                               3630 ns         3630 ns       194980
SWAP<float>/AVX512/8                               4199 ns         4199 ns       169721
SWAP<float>/AVX512/10                              6296 ns         6296 ns       110167
SWAP<float>/AVX512/12                             15401 ns        15400 ns        46099
SWAP<float>/AVX512/14                             60235 ns        60235 ns        11241
SWAP<float>/AVX512/16                            245750 ns       245738 ns         2939
SWAP<float>/AVX512/18                           2052842 ns      2052788 ns          353
SWAP<float>/AVX512/20                           9761402 ns      9761064 ns           65
SWAP<float>/AVX512/22                          83087075 ns     83079810 ns            8
SWAP<float>/AVX512/24                         373546810 ns    373547546 ns            2
PauliY<float>/AVX512/6                             3546 ns         3546 ns       197577
PauliY<float>/AVX512/8                             6811 ns         6811 ns       104497
PauliY<float>/AVX512/10                           11193 ns        11193 ns        61882
PauliY<float>/AVX512/12                           30219 ns        30219 ns        22736
PauliY<float>/AVX512/14                          140209 ns       140194 ns         5024
PauliY<float>/AVX512/16                          555024 ns       555010 ns         1255
PauliY<float>/AVX512/18                         4007133 ns      4007142 ns          176
PauliY<float>/AVX512/20                        17000515 ns     17000378 ns           41
PauliY<float>/AVX512/22                       112182841 ns    112179926 ns            6
PauliY<float>/AVX512/24                       517654743 ns    517628859 ns            1
CZ<float>/AVX512/6                                 3283 ns         3282 ns       217496
CZ<float>/AVX512/8                                 5853 ns         5852 ns       115180
CZ<float>/AVX512/10                                9161 ns         9160 ns        74675
CZ<float>/AVX512/12                               12451 ns        12450 ns        57814
CZ<float>/AVX512/14                               66904 ns        66899 ns        10679
CZ<float>/AVX512/16                              249501 ns       249501 ns         2691
CZ<float>/AVX512/18                             1513776 ns      1513778 ns          499
CZ<float>/AVX512/20                             7534720 ns      7534668 ns          108
CZ<float>/AVX512/22                            65751714 ns     65705538 ns           10
CZ<float>/AVX512/24                           294684719 ns    294666452 ns            2
PauliX<float>/AVX512/6                             3264 ns         3263 ns       213897
PauliX<float>/AVX512/8                             3864 ns         3863 ns       178790
PauliX<float>/AVX512/10                            6215 ns         6215 ns       114268
PauliX<float>/AVX512/12                           15424 ns        15424 ns        44211
PauliX<float>/AVX512/14                           86908 ns        86908 ns         8148
PauliX<float>/AVX512/16                          344582 ns       344563 ns         2031
PauliX<float>/AVX512/18                         3188803 ns      3188356 ns          221
PauliX<float>/AVX512/20                        13700977 ns     13700605 ns           51
PauliX<float>/AVX512/22                       103043191 ns    103038150 ns            7
PauliX<float>/AVX512/24                       489428243 ns    489421592 ns            2
PhaseShift<float>/AVX512/6                         4141 ns         4141 ns       170376
PhaseShift<float>/AVX512/8                         7970 ns         7969 ns        89260
PhaseShift<float>/AVX512/10                       12602 ns        12602 ns        58536
PhaseShift<float>/AVX512/12                       28070 ns        28069 ns        24974
PhaseShift<float>/AVX512/14                      107390 ns       107390 ns         6748
PhaseShift<float>/AVX512/16                      410187 ns       410151 ns         1710
PhaseShift<float>/AVX512/18                     2803045 ns      2803018 ns          314
PhaseShift<float>/AVX512/20                    10579822 ns     10579478 ns           66
PhaseShift<float>/AVX512/22                    81427328 ns     81425107 ns            8
PhaseShift<float>/AVX512/24                   369329363 ns    369310716 ns            2
Hadamard<float>/AVX512/6                           3142 ns         3141 ns       220793
