```
$ docker container run -it --rm 87d4043c66af /opt/install/bin/bench_kernels
2023-01-04T03:59:48+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.70, 0.56, 0.55
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.6
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
PauliZ<float>/AVX512/20                        11384604 ns     11383736 ns           68
PauliZ<float>/AVX512/22                        76175872 ns     76176168 ns            8
PauliZ<float>/AVX512/24                       322252171 ns    322225211 ns            2
IsingZZ<float>/AVX512/6                            5065 ns         5064 ns       100000
IsingZZ<float>/AVX512/8                            9705 ns         9703 ns        70802
IsingZZ<float>/AVX512/10                          16297 ns        16295 ns        43532
IsingZZ<float>/AVX512/12                          41291 ns        41288 ns        17023
IsingZZ<float>/AVX512/14                         149565 ns       149565 ns         4688
IsingZZ<float>/AVX512/16                         583728 ns       583667 ns         1194
IsingZZ<float>/AVX512/18                        4045137 ns      4044650 ns          171
IsingZZ<float>/AVX512/20                       17194385 ns     17193927 ns           39
IsingZZ<float>/AVX512/22                      112039440 ns    112036509 ns            6
IsingZZ<float>/AVX512/24                      519415006 ns    518468058 ns            1
T<float>/AVX512/6                                  4360 ns         4359 ns       163956
T<float>/AVX512/8                                  8180 ns         8179 ns        85712
T<float>/AVX512/10                                12642 ns        12641 ns        54247
T<float>/AVX512/12                                30893 ns        30888 ns        22430
T<float>/AVX512/14                               116095 ns       116078 ns         6197
T<float>/AVX512/16                               440142 ns       440098 ns         1660
T<float>/AVX512/18                              2146976 ns      2146774 ns          260
T<float>/AVX512/20                              9610476 ns      9608989 ns           68
T<float>/AVX512/22                             78239741 ns     78218907 ns            9
T<float>/AVX512/24                            347264981 ns    347235748 ns            2
IsingYY<float>/AVX512/6                            5088 ns         5087 ns       139873
IsingYY<float>/AVX512/8                            9905 ns         9904 ns        70372
IsingYY<float>/AVX512/10                          16185 ns        16183 ns        42297
IsingYY<float>/AVX512/12                          41368 ns        41364 ns        16469
IsingYY<float>/AVX512/14                         155278 ns       155258 ns         4485
IsingYY<float>/AVX512/16                         597946 ns       597817 ns         1152
IsingYY<float>/AVX512/18                        4131236 ns      4130488 ns          170
IsingYY<float>/AVX512/20                       17658056 ns     17654863 ns           38
IsingYY<float>/AVX512/22                      117038507 ns    117016709 ns            6
IsingYY<float>/AVX512/24                      525970323 ns    525812033 ns            1
S<float>/AVX512/6                                  4340 ns         4339 ns       160068
S<float>/AVX512/8                                  4983 ns         4982 ns       139503
S<float>/AVX512/10                                12579 ns        12577 ns        56410
S<float>/AVX512/12                                30981 ns        30980 ns        22049
S<float>/AVX512/14                                92042 ns        92030 ns         6151
S<float>/AVX512/16                               377348 ns       377303 ns         2108
S<float>/AVX512/18                              2092504 ns      2092072 ns          331
S<float>/AVX512/20                              8574021 ns      8573005 ns           70
S<float>/AVX512/22                             82343100 ns     82336307 ns            8
S<float>/AVX512/24                            362747575 ns    362677350 ns            2
CNOT<float>/AVX512/6                               4592 ns         4591 ns       155939
CNOT<float>/AVX512/8                               5052 ns         5051 ns       136377
CNOT<float>/AVX512/10                              7737 ns         7737 ns        90629
CNOT<float>/AVX512/12                             18663 ns        18660 ns        39806
CNOT<float>/AVX512/14                             60066 ns        60059 ns        11480
CNOT<float>/AVX512/16                            218637 ns       218600 ns         3023
CNOT<float>/AVX512/18                           1724854 ns      1724633 ns          367
CNOT<float>/AVX512/20                           9408236 ns      9405281 ns           74
CNOT<float>/AVX512/22                          75725398 ns     75703018 ns            9
CNOT<float>/AVX512/24                         345344822 ns    345297601 ns            2
SWAP<float>/AVX512/6                               4784 ns         4783 ns       145743
SWAP<float>/AVX512/8                               5369 ns         5368 ns       131286
SWAP<float>/AVX512/10                              7723 ns         7723 ns        86259
SWAP<float>/AVX512/12                             17994 ns        17992 ns        37508
SWAP<float>/AVX512/14                             63858 ns        63853 ns        10736
SWAP<float>/AVX512/16                            234150 ns       234132 ns         2812
SWAP<float>/AVX512/18                           1917898 ns      1917800 ns          331
SWAP<float>/AVX512/20                           9403084 ns      9402471 ns           71
SWAP<float>/AVX512/22                          82657362 ns     82642868 ns            8
SWAP<float>/AVX512/24                         374665477 ns    374570444 ns            2
PauliY<float>/AVX512/6                             4745 ns         4744 ns       150067
PauliY<float>/AVX512/8                             5437 ns         5436 ns       124552
PauliY<float>/AVX512/10                           14049 ns        14047 ns        49851
PauliY<float>/AVX512/12                           36577 ns        36573 ns        19326
PauliY<float>/AVX512/14                          143955 ns       143911 ns         4844
PauliY<float>/AVX512/16                          561566 ns       561544 ns         1239
PauliY<float>/AVX512/18                         3790820 ns      3790202 ns          176
PauliY<float>/AVX512/20                        16694114 ns     16692808 ns           41
PauliY<float>/AVX512/22                       109700633 ns    109660124 ns            6
PauliY<float>/AVX512/24                       503977919 ns    503808133 ns            1
CZ<float>/AVX512/6                                 4446 ns         4446 ns       156047
CZ<float>/AVX512/8                                 4982 ns         4981 ns       138239
CZ<float>/AVX512/10                                7129 ns         7129 ns        97231
CZ<float>/AVX512/12                               20269 ns        20267 ns        43248
CZ<float>/AVX512/14                               83527 ns        83523 ns         9053
CZ<float>/AVX512/16                              172786 ns       172774 ns         4254
CZ<float>/AVX512/18                             1459233 ns      1459135 ns          419
CZ<float>/AVX512/20                             7167909 ns      7167343 ns           93
CZ<float>/AVX512/22                            64495974 ns     64492068 ns           12
CZ<float>/AVX512/24                           272138004 ns    272020992 ns            3
PauliX<float>/AVX512/6                             4346 ns         4345 ns       159250
PauliX<float>/AVX512/8                             5015 ns         5014 ns       137924
PauliX<float>/AVX512/10                            7632 ns         7632 ns        92609
PauliX<float>/AVX512/12                           18534 ns        18533 ns        37224
PauliX<float>/AVX512/14                           87531 ns        87519 ns         8043
PauliX<float>/AVX512/16                          345635 ns       345598 ns         2020
PauliX<float>/AVX512/18                         3198687 ns      3198357 ns          219
PauliX<float>/AVX512/20                        13621242 ns     13620506 ns           50
PauliX<float>/AVX512/22                        98834751 ns     98819896 ns            7
PauliX<float>/AVX512/24                       470166174 ns    470132071 ns            2
PhaseShift<float>/AVX512/6                         5205 ns         5204 ns       133019
PhaseShift<float>/AVX512/8                         9780 ns         9779 ns        70938
PhaseShift<float>/AVX512/10                       14675 ns        14673 ns        48047
PhaseShift<float>/AVX512/12                       32324 ns        32321 ns        21803
PhaseShift<float>/AVX512/14                      108838 ns       108827 ns         6006
PhaseShift<float>/AVX512/16                      413165 ns       413096 ns         1562
PhaseShift<float>/AVX512/18                     2307490 ns      2307064 ns          305
PhaseShift<float>/AVX512/20                     8911369 ns      8909597 ns           72
PhaseShift<float>/AVX512/22                    79480014 ns     79467059 ns            8
PhaseShift<float>/AVX512/24                   347574220 ns    347491944 ns            2
Hadamard<float>/AVX512/6                           4296 ns         4295 ns       155413
Hadamard<float>/AVX512/8                           9572 ns         9570 ns        80246
Hadamard<float>/AVX512/10                         36549 ns        36545 ns        46622
Hadamard<float>/AVX512/12                         45824 ns        45822 ns        16386
Hadamard<float>/AVX512/14                        321863 ns       321814 ns         4305
Hadamard<float>/AVX512/16                        739472 ns       739373 ns         1213
Hadamard<float>/AVX512/18                       5419319 ns      5418812 ns          100
Hadamard<float>/AVX512/20                      17046616 ns     17043733 ns           39
Hadamard<float>/AVX512/22                     113856603 ns    113841116 ns            6
Hadamard<float>/AVX512/24                     539523790 ns    539403722 ns            1
SingleQubitOp<float>/AVX512/6/1                    6492 ns         6492 ns       108688
SingleQubitOp<float>/AVX512/8/1                    8893 ns         8892 ns        77136
SingleQubitOp<float>/AVX512/10/1                  18516 ns        18514 ns        36569
SingleQubitOp<float>/AVX512/12/1                  58099 ns        58092 ns        11777
SingleQubitOp<float>/AVX512/14/1                 211479 ns       211444 ns         3367
SingleQubitOp<float>/AVX512/16/1                 818012 ns       817926 ns          834
SingleQubitOp<float>/AVX512/18/1                4343509 ns      4342609 ns          160
SingleQubitOp<float>/AVX512/20/1               18124954 ns     18120200 ns           37
SingleQubitOp<float>/AVX512/22/1              114829347 ns    114809093 ns            6
SingleQubitOp<float>/AVX512/24/1              520842372 ns    520785466 ns            1
GeneratorRZ<float>/AVX2/6                          4750 ns         4749 ns       148049
GeneratorRZ<float>/AVX2/8                          5992 ns         5991 ns       118068
GeneratorRZ<float>/AVX2/10                        11160 ns        11157 ns        63404
GeneratorRZ<float>/AVX2/12                        32009 ns        32006 ns        22246
GeneratorRZ<float>/AVX2/14                       105903 ns       105888 ns         6266
GeneratorRZ<float>/AVX2/16                       428259 ns       428176 ns         1640
GeneratorRZ<float>/AVX2/18                      2422259 ns      2421801 ns          293
GeneratorRZ<float>/AVX2/20                      9643887 ns      9642272 ns           60
GeneratorRZ<float>/AVX2/22                     86019771 ns     85895166 ns            8
GeneratorRZ<float>/AVX2/24                    361987132 ns    361963371 ns            2
GeneratorRY<float>/AVX2/6                          4745 ns         4744 ns       146811
GeneratorRY<float>/AVX2/8                          6452 ns         6452 ns       106728
GeneratorRY<float>/AVX2/10                        13253 ns        13252 ns        53496
