```
$ docker container run -it --rm 515ef2898ccc /opt/install/bin/bench_kernels
2023-01-02T06:59:47+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 1.00, 0.63, 0.57
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
S<float>/AVX512/18                              1829711 ns      1829611 ns          418
S<float>/AVX512/20                              9423949 ns      9423342 ns           72
S<float>/AVX512/22                             80776715 ns     80766952 ns            8
S<float>/AVX512/24                            366521642 ns    366488940 ns            2
IsingYY<float>/AVX512/6                            5109 ns         5108 ns       135186
IsingYY<float>/AVX512/8                            9706 ns         9706 ns        72005
IsingYY<float>/AVX512/10                          14441 ns        14440 ns        48459
IsingYY<float>/AVX512/12                          35190 ns        35188 ns        19601
IsingYY<float>/AVX512/14                         147212 ns       147203 ns         4755
IsingYY<float>/AVX512/16                         576883 ns       576717 ns         1201
IsingYY<float>/AVX512/18                        4140610 ns      4139914 ns          171
IsingYY<float>/AVX512/20                       17647476 ns     17646040 ns           39
IsingYY<float>/AVX512/22                      116790808 ns    116779516 ns            6
IsingYY<float>/AVX512/24                      522989796 ns    522930591 ns            1
RZ<float>/AVX512/6                                 4765 ns         4765 ns       144956
RZ<float>/AVX512/8                                 9434 ns         9433 ns        74490
RZ<float>/AVX512/10                               15528 ns        15527 ns        45465
RZ<float>/AVX512/12                               41708 ns        41705 ns        17167
RZ<float>/AVX512/14                              147946 ns       147931 ns         4717
RZ<float>/AVX512/16                              574078 ns       574059 ns         1223
RZ<float>/AVX512/18                             4022034 ns      4021450 ns          174
RZ<float>/AVX512/20                            17363900 ns     17360606 ns           40
RZ<float>/AVX512/22                           115392283 ns    115377421 ns            6
RZ<float>/AVX512/24                           524813958 ns    524795613 ns            1
Rot<float>/AVX512/6                               17124 ns        17121 ns        40925
