```
$ ./benchmark_all.sh 
2023-01-01T19:40:25+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 2.37, 1.92, 1.59
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
PauliZ<float>/AVX512/20                        11064217 ns     11063984 ns           57
PauliZ<float>/AVX512/22                        80812349 ns     80801776 ns            8
PauliZ<float>/AVX512/24                       353880280 ns    353847812 ns            2
IsingZZ<float>/AVX512/6                            4048 ns         4047 ns       170485
IsingZZ<float>/AVX512/8                            8546 ns         8545 ns        82674
IsingZZ<float>/AVX512/10                          15148 ns        15147 ns        46159
IsingZZ<float>/AVX512/12                          40609 ns        40608 ns        17009
IsingZZ<float>/AVX512/14                         156858 ns       156841 ns         4517
IsingZZ<float>/AVX512/16                         606894 ns       606830 ns         1161
IsingZZ<float>/AVX512/18                        4296260 ns      4295767 ns          160
IsingZZ<float>/AVX512/20                       18088281 ns     18086919 ns           37
IsingZZ<float>/AVX512/22                      114945542 ns    114941066 ns            6
IsingZZ<float>/AVX512/24                      531775203 ns    531691396 ns            1
T<float>/AVX512/6                                  3345 ns         3344 ns       208550
T<float>/AVX512/8                                  6699 ns         6698 ns       105468
T<float>/AVX512/10                                11360 ns        11360 ns        61185
T<float>/AVX512/12                                30088 ns        30085 ns        22877
T<float>/AVX512/14                               116179 ns       116153 ns         6188
T<float>/AVX512/16                               478094 ns       478053 ns         1624
T<float>/AVX512/18                              2069254 ns      2069234 ns          245
T<float>/AVX512/20                             10582652 ns     10582312 ns           64
T<float>/AVX512/22                             84842148 ns     84833548 ns            9
T<float>/AVX512/24                            368488891 ns    368448716 ns            2
IsingYY<float>/AVX512/6                            4164 ns         4164 ns       170267
IsingYY<float>/AVX512/8                            8633 ns         8633 ns        81632
IsingYY<float>/AVX512/10                          15311 ns        15310 ns        46320
IsingYY<float>/AVX512/12                          43200 ns        43195 ns        16182
IsingYY<float>/AVX512/14                         161396 ns       161360 ns         4258
IsingYY<float>/AVX512/16                         647950 ns       647845 ns         1098
IsingYY<float>/AVX512/18                        4361433 ns      4360942 ns          159
IsingYY<float>/AVX512/20                       19102187 ns     19099325 ns           36
IsingYY<float>/AVX512/22                      122206538 ns    122177059 ns            6
IsingYY<float>/AVX512/24                      543019818 ns    542997302 ns            1
S<float>/AVX512/6                                  3485 ns         3484 ns       201413
S<float>/AVX512/8                                  4272 ns         4271 ns       160308
S<float>/AVX512/10                                11757 ns        11753 ns        59628
S<float>/AVX512/12                                30907 ns        30907 ns        22722
S<float>/AVX512/14                                74003 ns        73996 ns        10030
S<float>/AVX512/16                               321391 ns       321382 ns         1904
S<float>/AVX512/18                              2296639 ns      2296643 ns          328
S<float>/AVX512/20                             10077173 ns     10076322 ns           63
S<float>/AVX512/22                             82132126 ns     82128900 ns            8
S<float>/AVX512/24                            386786066 ns    386695964 ns            2
CNOT<float>/AVX512/6                               3518 ns         3518 ns       198867
CNOT<float>/AVX512/8                               4156 ns         4156 ns       170243
CNOT<float>/AVX512/10                              6599 ns         6599 ns       107985
CNOT<float>/AVX512/12                             17144 ns        17141 ns        44644
CNOT<float>/AVX512/14                             62268 ns        62263 ns        11124
CNOT<float>/AVX512/16                            229237 ns       229199 ns         3088
CNOT<float>/AVX512/18                           1792674 ns      1792566 ns          390
CNOT<float>/AVX512/20                          10199289 ns     10198496 ns           65
CNOT<float>/AVX512/22                          73821980 ns     73711535 ns            9
CNOT<float>/AVX512/24                         351788859 ns    351748578 ns            2
SWAP<float>/AVX512/6                               3875 ns         3875 ns       178218
SWAP<float>/AVX512/8                               4525 ns         4525 ns       153143
SWAP<float>/AVX512/10                              7488 ns         7487 ns        93408
SWAP<float>/AVX512/12                             19228 ns        19226 ns        38819
SWAP<float>/AVX512/14                             63995 ns        63980 ns        10507
SWAP<float>/AVX512/16                            267725 ns       267716 ns         2689
SWAP<float>/AVX512/18                           2251646 ns      2251278 ns          321
SWAP<float>/AVX512/20                           9760771 ns      9760157 ns           59
SWAP<float>/AVX512/22                          92125016 ns     92115244 ns            8
SWAP<float>/AVX512/24                         423560406 ns    423545662 ns            2
PauliY<float>/AVX512/6                             3885 ns         3884 ns       183138
PauliY<float>/AVX512/8                             4636 ns         4636 ns       151559
PauliY<float>/AVX512/10                           13528 ns        13525 ns        51071
PauliY<float>/AVX512/12                           36645 ns        36641 ns        19568
PauliY<float>/AVX512/14                          147877 ns       147824 ns         4715
PauliY<float>/AVX512/16                          586270 ns       586231 ns         1183
PauliY<float>/AVX512/18                         4178803 ns      4178320 ns          166
PauliY<float>/AVX512/20                        17371776 ns     17371330 ns           39
PauliY<float>/AVX512/22                       112959373 ns    112757398 ns            6
PauliY<float>/AVX512/24                       526973661 ns    526895175 ns            1
CZ<float>/AVX512/6                                 3529 ns         3529 ns       199470
CZ<float>/AVX512/8                                 4216 ns         4216 ns       167253
CZ<float>/AVX512/10                                6807 ns         6807 ns       103703
CZ<float>/AVX512/12                               15897 ns        15896 ns        44469
CZ<float>/AVX512/14                               86689 ns        86685 ns         8073
CZ<float>/AVX512/16                              302017 ns       301993 ns         3715
CZ<float>/AVX512/18                             1330933 ns      1330785 ns          448
CZ<float>/AVX512/20                             7141181 ns      7140513 ns           96
CZ<float>/AVX512/22                            61557413 ns     61543291 ns           11
CZ<float>/AVX512/24                           268123642 ns    268063118 ns            3
PauliX<float>/AVX512/6                             3520 ns         3520 ns       201183
PauliX<float>/AVX512/8                             4217 ns         4216 ns       167089
PauliX<float>/AVX512/10                            6911 ns         6910 ns       102345
PauliX<float>/AVX512/12                           19021 ns        19018 ns        38021
PauliX<float>/AVX512/14                           90805 ns        90804 ns         7636
PauliX<float>/AVX512/16                          362698 ns       362634 ns         1928
PauliX<float>/AVX512/18                         3255268 ns      3254804 ns          215
PauliX<float>/AVX512/20                        14250398 ns     14248128 ns           47
PauliX<float>/AVX512/22                       106002154 ns    106001023 ns            6
PauliX<float>/AVX512/24                       487946872 ns    487867235 ns            2
PhaseShift<float>/AVX512/6                         4339 ns         4338 ns       161347
