```
$ ./bin/bench_kernels 
2023-01-11T22:19:47+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 5.90, 5.86, 5.84
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
S<float>/AVX512/20                              9372883 ns      9371832 ns           77
S<float>/AVX512/22                             77763585 ns     77750821 ns            9
S<float>/AVX512/24                            347778298 ns    347732296 ns            2
IsingYY<float>/AVX512/6                            4336 ns         4335 ns       160834
IsingYY<float>/AVX512/8                            8621 ns         8621 ns        83359
IsingYY<float>/AVX512/10                          13208 ns        13207 ns        53615
IsingYY<float>/AVX512/12                          33924 ns        33923 ns        20527
IsingYY<float>/AVX512/14                         140443 ns       140431 ns         4984
IsingYY<float>/AVX512/16                         555846 ns       555802 ns         1256
IsingYY<float>/AVX512/18                        3927971 ns      3927754 ns          176
IsingYY<float>/AVX512/20                       17506373 ns     17504043 ns           41
IsingYY<float>/AVX512/22                      117266117 ns    117251162 ns            6
IsingYY<float>/AVX512/24                      537880830 ns    537736683 ns            1
RZ<float>/AVX512/6                                 4061 ns         4061 ns       167420
RZ<float>/AVX512/8                                 8037 ns         8037 ns        88509
RZ<float>/AVX512/10                               12681 ns        12680 ns        54895
RZ<float>/AVX512/12                               33675 ns        33675 ns        19797
RZ<float>/AVX512/14                              140140 ns       140139 ns         5039
RZ<float>/AVX512/16                              547127 ns       547127 ns         1284
RZ<float>/AVX512/18                             3919973 ns      3919976 ns          179
RZ<float>/AVX512/20                            16831016 ns     16830057 ns           42
RZ<float>/AVX512/22                           110543956 ns    110540763 ns            6
RZ<float>/AVX512/24                           523570603 ns    523571423 ns            1
Rot<float>/AVX512/6                               16262 ns        16260 ns        43244
Rot<float>/AVX512/8                               18278 ns        18276 ns        38888
Rot<float>/AVX512/10                              27171 ns        27170 ns        25844
Rot<float>/AVX512/12                              64643 ns        64637 ns        10818
Rot<float>/AVX512/14                             213257 ns       213249 ns         3341
Rot<float>/AVX512/16                             792354 ns       792287 ns          817
Rot<float>/AVX512/18                            4231035 ns      4230686 ns          166
Rot<float>/AVX512/20                           18271769 ns     18267300 ns           39
Rot<float>/AVX512/22                          118907975 ns    118889019 ns            6
Rot<float>/AVX512/24                          532299548 ns    532276831 ns            1
RX<float>/AVX512/6                                 4056 ns         4055 ns       172503
RX<float>/AVX512/8                                 8347 ns         8346 ns        87798
RX<float>/AVX512/10                               12995 ns        12994 ns        53726
RX<float>/AVX512/12                               36546 ns        36543 ns        19628
RX<float>/AVX512/14                              144992 ns       144989 ns         4870
RX<float>/AVX512/16                              566891 ns       566891 ns         1242
RX<float>/AVX512/18                             4012634 ns      4012642 ns          174
RX<float>/AVX512/20                            16732579 ns     16732612 ns           42
RX<float>/AVX512/22                           110668849 ns    110666076 ns            6
RX<float>/AVX512/24                           507144032 ns    507097303 ns            1
RY<float>/AVX512/6                                 4079 ns         4079 ns       174386
RY<float>/AVX512/8                                 7850 ns         7850 ns        89384
RY<float>/AVX512/10                               12344 ns        12344 ns        57420
RY<float>/AVX512/12                               29651 ns        29651 ns        23329
RY<float>/AVX512/14                              140462 ns       140433 ns         5038
RY<float>/AVX512/16                              554571 ns       554558 ns         1274
RY<float>/AVX512/18                             3918301 ns      3917973 ns          178
RY<float>/AVX512/20                            17006209 ns     17006258 ns           42
RY<float>/AVX512/22                           109727839 ns    109720716 ns            6
RY<float>/AVX512/24                           512754548 ns    512743544 ns            1
CZ<float>/AVX512/6                                 3554 ns         3554 ns       200559
CZ<float>/AVX512/8                                 6475 ns         6474 ns       107667
CZ<float>/AVX512/10                                8856 ns         8856 ns        80128
CZ<float>/AVX512/12                               18839 ns        18836 ns        35368
CZ<float>/AVX512/14                               65319 ns        65309 ns        10796
CZ<float>/AVX512/16                              227015 ns       226997 ns         2889
CZ<float>/AVX512/18                             1320615 ns      1320458 ns          477
CZ<float>/AVX512/20                             7576578 ns      7575325 ns           95
CZ<float>/AVX512/22                            62994423 ns     62982084 ns           11
CZ<float>/AVX512/24                           257355763 ns    257322018 ns            3
SWAP<float>/AVX512/6                               3994 ns         3993 ns       164754
SWAP<float>/AVX512/8                               4365 ns         4365 ns       157426
SWAP<float>/AVX512/10                              6408 ns         6407 ns       103210
SWAP<float>/AVX512/12                             14906 ns        14906 ns        47121
SWAP<float>/AVX512/14                             59944 ns        59930 ns         9961
SWAP<float>/AVX512/16                            227249 ns       227211 ns         3024
SWAP<float>/AVX512/18                           1986038 ns      1985840 ns          321
SWAP<float>/AVX512/20                           8953731 ns      8952848 ns           67
SWAP<float>/AVX512/22                          83931675 ns     83906103 ns            8
SWAP<float>/AVX512/24                         362887952 ns    362839809 ns            2
CNOT<float>/AVX512/6                               3734 ns         3733 ns       190930
CNOT<float>/AVX512/8                               4133 ns         4133 ns       158859
CNOT<float>/AVX512/10                              5864 ns         5864 ns       119737
CNOT<float>/AVX512/12                             12837 ns        12837 ns        52144
CNOT<float>/AVX512/14                             57786 ns        57770 ns        13164
CNOT<float>/AVX512/16                            211776 ns       211744 ns         3218
CNOT<float>/AVX512/18                           1847165 ns      1846664 ns          423
CNOT<float>/AVX512/20                           8598597 ns      8597837 ns           81
CNOT<float>/AVX512/22                          75384285 ns     75379704 ns            9
CNOT<float>/AVX512/24                         366432686 ns    366389150 ns            2
IsingZZ<float>/AVX512/6                            4288 ns         4288 ns       164998
IsingZZ<float>/AVX512/8                            8328 ns         8327 ns        85538
IsingZZ<float>/AVX512/10                          13537 ns        13536 ns        54567
IsingZZ<float>/AVX512/12                          32839 ns        32837 ns        21227
IsingZZ<float>/AVX512/14                         139341 ns       139337 ns         4997
IsingZZ<float>/AVX512/16                         549922 ns       549908 ns         1269
